roll, pitch,
-0.352695, -1.180060, 
-0.349604, -1.183267, 
-0.350776, -1.183630, 
-0.351512, -1.181622, 
-0.350257, -1.182647, 
-0.350157, -1.182523, 
-0.351708, -1.181299, 
-0.350609, -1.182306, 
-0.349640, -1.182937, 
-0.350016, -1.182958, 
-0.350416, -1.182126, 
-0.351617, -1.181739, 
-0.349781, -1.183650, 
-0.350356, -1.183276, 
-0.350055, -1.183451, 
-0.349851, -1.183629, 
-0.349887, -1.182808, 
-0.352444, -1.180596, 
-0.350939, -1.181628, 
-0.349437, -1.183704, 
-0.350608, -1.182935, 
-0.351277, -1.182180, 
-0.349083, -1.184051, 
-0.351843, -1.181564, 
-0.350798, -1.182368, 
-0.349682, -1.182989, 
-0.348155, -1.185059, 
-0.350446, -1.181747, 
-0.350489, -1.182434, 
-0.349836, -1.182512, 
-0.350926, -1.182746, 
-0.349504, -1.183296, 
-0.349978, -1.183063, 
-0.351484, -1.180436, 
-0.348930, -1.184494, 
-0.352260, -1.181120, 
-0.349509, -1.183752, 
-0.349825, -1.182908, 
-0.350910, -1.182134, 
-0.350340, -1.182166, 
-0.350744, -1.183162, 
-0.348186, -1.185285, 
-0.349997, -1.183766, 
-0.349831, -1.183452, 
-0.350095, -1.183864, 
-0.350146, -1.182980, 
-0.350507, -1.182580, 
-0.350856, -1.182705, 
-0.351166, -1.182277, 
-0.352281, -1.181616, 
-0.348770, -1.184199, 
-0.351088, -1.182155, 
-0.351342, -1.181973, 
-0.349038, -1.184663, 
-0.349522, -1.183906, 
-0.350143, -1.182689, 
-0.350114, -1.182239, 
-0.349644, -1.183250, 
-0.352513, -1.181133, 
-0.349343, -1.184253, 
-0.350030, -1.183680, 
-0.350753, -1.183040, 
-0.350635, -1.182796, 
-0.350973, -1.182655, 
-0.350189, -1.183289, 
-0.350242, -1.183051, 
-0.351870, -1.180968, 
-0.351646, -1.182346, 
-0.350026, -1.183034, 
-0.350038, -1.182870, 
-0.350079, -1.183939, 
-0.352028, -1.180712, 
-0.352474, -1.181012, 
-0.349176, -1.184267, 
-0.351491, -1.181413, 
-0.350040, -1.182265, 
-0.350318, -1.183862, 
-0.350363, -1.183189, 
-0.348766, -1.184043, 
-0.351229, -1.181617, 
-0.348819, -1.185564, 
-0.352139, -1.181760, 
-0.350322, -1.183916, 
-0.352534, -1.180985, 
-0.350605, -1.182611, 
-0.350702, -1.181995, 
-0.349243, -1.183860, 
-0.349069, -1.184126, 
-0.349823, -1.183995, 
-0.349538, -1.183767, 
-0.352373, -1.181767, 
-0.350229, -1.183085, 
-0.350519, -1.183268, 
-0.350147, -1.183598, 
-0.350551, -1.183409, 
-0.350975, -1.183333, 
-0.351453, -1.182010, 
-0.349964, -1.183560, 
-0.352221, -1.180464, 
-0.349112, -1.185478, 
-0.350116, -1.184103, 
-0.349446, -1.183623, 
-0.351003, -1.182348, 
-0.351031, -1.182042, 
-0.351454, -1.183074, 
-0.348610, -1.185176, 
-0.351486, -1.181987, 
